BridgePosition,TotalCost
0,440000.0
1,439840.0360288198
2,439680.14423071715
3,439520.3247792064
4,439360.57784827973
5,439200.9036124083
6,439041.3022465438
7,438881.7739261192
8,438722.31882705074
9,438562.93712573854
10,438403.62899906846
11,438244.39462441305
12,438085.23417963285
13,437926.14784307807
14,437767.13579358935
15,437608.19821049937
16,437449.3352736342
17,437290.5471633144
18,437131.8340603567
19,436973.1961460747
20,436814.6336022807
21,436656.14661128697
22,436497.7353559068
23,436339.4000194561
24,436181.1407857544
25,436022.9578391266
26,435864.85136440385
27,435706.8215469251
28,435548.86857253866
29,435390.99262760294
30,435233.1938989884
31,435075.47257407836
32,434917.82884077076
33,434760.26288747916
34,434602.77490313444
35,434445.3650771857
36,434288.0335996018
37,434130.78066087305
38,433973.60645201197
39,433816.51116455486
40,433659.49499056325
41,433502.55812262534
42,433345.7007538569
43,433188.9230779032
44,433032.2252889398
45,432875.60758167424
46,432719.07015134755
47,432562.61319373496
48,432406.23690514814
49,432249.94148243585
50,432093.72712298547
51,431937.59402472456
52,431781.5423861222
53,431625.5724061901
54,431469.6842844841
55,431313.87822110555
56,431158.1544167028
57,431002.5130724724
58,430846.9543901605
59,430691.47857206414
60,430536.0858210329
61,430380.77634046983
62,430225.5503343333
63,430070.40800713823
64,429915.3495639571
65,429760.3752104216
66,429605.48515272443
67,429450.6795976198
68,429295.95875242556
69,429141.32282502414
70,428986.7720238641
71,428832.3065579616
72,428677.92663690157
73,428523.6324708391
74,428369.424270501
75,428215.3022471871
76,428061.26661277167
77,427907.3175797047
78,427753.4553610133
79,427599.6801703031
80,427445.99222175975
81,427292.3917301501
82,427138.8789108239
83,426985.45397971466
84,426832.1171533417
85,426678.8686488109
86,426525.70868381654
87,426372.6374766425
88,426219.65524616354
89,426066.76221184694
90,425913.95859375375
91,425761.24461254023
92,425608.6204894589
93,425456.0864463607
94,425303.64270569535
95,425151.28949051374
96,424999.0270244684
97,424846.85553181585
98,424694.7752374171
99,424542.7863667393
100,424390.8891458578
101,424239.0838014562
102,424087.37056082906
103,423935.7496518825
104,423784.2213031358
105,423632.7857437228
106,423481.4432033932
107,423330.193912514
108,423179.03810207103
109,423027.97600367
110,422877.007849538
111,422726.1338725252
112,422575.35430610564
113,422424.66938437906
114,422274.07934207213
115,422123.5844145398
116,421973.1848377667
117,421822.8808483685
118,421672.67268359323
119,421522.56058132276
120,421372.54478007415
121,421222.6255190008
122,421072.80303789413
123,420923.07757718477
124,420773.44937794376
125,420623.9186818844
126,420474.4857313632
127,420325.150769381
128,420175.9140395852
129,420026.77578627015
130,419877.7362543792
131,419728.79568950547
132,419579.95433789375
133,419431.2124464414
134,419282.5702627001
135,419134.0280348767
136,418985.586011835
137,418837.2444430969
138,418689.00357884367
139,418540.86366991734
140,418392.82496782206
141,418244.88772472553
142,418097.05219345994
143,417949.31862752384
144,417801.6872810829
145,417654.1584089716
146,417506.7322666946
147,417359.4091104275
148,417212.18919701886
149,417065.0727839909
150,416918.0601295413
151,416771.15149254416
152,416624.34713255137
153,416477.64730979386
154,416331.05228518316
155,416184.56232031225
156,416038.1776774572
157,415891.8986195783
158,415745.72541032115
159,415599.6583140184
160,415453.6975956905
161,415307.84352104727
162,415162.0963564892
163,415016.45636910835
164,414870.92382668995
165,414725.49899771356
166,414580.18215135415
167,414434.97355748364
168,414289.8734866716
169,414144.88221018726
170,414000.0
171,413855.2271287809
172,413710.563869904
173,413566.01049744734
174,413421.56728619424
175,413277.23451163457
176,413133.01244996575
177,412988.9013780942
178,412844.9015736362
179,412701.01331491943
180,412557.2368809839
